,Coccion,T_desgrasante,Composicion,Densidad,Textura,Grosor₍mm),Tamaño(cm),Acabado_Interno,Acabado_Externo,Dureza,Ahumado,Tecnica,Elemento₁,Localizacion,Baño,Engobe,Cluster
279,0,2,6,0,0,9,3,2,2,1,0,0,0,0,0,0,1
280,0,2,6,0,0,8,3,2,2,1,0,0,0,0,0,0,1
281,0,2,6,0,0,8,3,2,2,1,0,0,0,0,0,0,1
282,0,2,2,0,0,8,3,2,2,0,0,0,0,0,0,0,2
283,0,2,2,0,0,8,2,2,2,1,2,0,0,0,0,0,2
284,0,2,2,0,0,7,3,1,1,0,0,0,0,0,0,0,2
285,0,2,6,0,0,6,4,2,2,1,0,0,0,0,0,0,1
286,0,2,6,0,0,5,3,1,2,1,2,0,0,0,0,0,1
287,0,2,6,0,0,6,3,2,2,1,0,0,0,0,0,0,1
288,0,2,6,0,0,7,2,2,2,0,0,4,3,1,0,0,1
289,1,2,0,0,1,9,2,2,1,0,0,0,0,0,0,0,2
290,0,2,6,0,0,8,3,2,2,1,0,0,0,0,0,0,1
291,0,2,2,0,0,8,3,3,3,1,0,0,0,0,3,0,2
292,1,1,5,0,0,8,3,2,2,1,2,0,0,0,0,0,1
293,1,1,5,0,0,7,3,2,2,1,2,0,0,0,0,0,1
294,0,2,6,0,0,10,3,2,2,1,1,0,0,0,0,0,1
295,0,2,6,1,0,11,4,2,2,1,0,0,0,0,0,0,3
296,0,1,6,0,0,8,2,2,2,1,0,0,0,0,0,0,1
297,0,1,6,0,0,8,3,2,2,0,2,0,0,0,0,0,1
298,1,1,4,0,0,6,3,2,2,0,1,0,0,0,0,0,1
299,0,1,6,0,0,7,3,1,1,0,0,0,0,0,0,0,1
300,1,1,2,0,0,7,3,2,2,1,0,0,0,0,0,0,2
301,0,1,6,0,0,6,2,2,2,1,1,0,0,0,0,0,1
302,0,1,2,0,0,6,3,2,2,1,0,0,0,0,0,0,2
303,0,1,6,0,0,10,4,2,2,1,2,0,0,0,0,0,1
304,1,1,4,0,0,5,3,2,2,1,0,0,0,0,0,0,1
305,1,1,5,0,0,6,2,2,2,1,3,0,0,0,0,0,1
306,1,1,6,0,0,6,3,2,2,1,1,0,0,0,0,0,1
307,0,2,0,0,0,8,3,1,1,0,0,0,0,0,0,0,2
308,0,3,2,1,0,9,3,2,2,1,0,0,0,0,0,0,2
309,0,3,2,1,0,10,3,1,1,0,0,0,0,0,0,0,3
310,0,2,5,0,0,6,2,2,2,1,0,0,0,0,0,0,1
311,0,2,6,0,0,7,4,2,2,1,1,0,0,0,0,0,1
312,0,1,2,0,0,9,2,2,2,1,0,4,3,1,0,0,0
313,0,2,6,0,0,6,4,2,2,1,0,0,0,0,0,0,1
314,1,2,4,0,0,9,3,2,2,1,0,6,5,1,0,0,0
315,0,2,2,0,0,8,3,2,2,1,1,0,0,0,0,0,2
316,1,2,0,0,0,8,3,1,1,1,0,0,0,0,0,0,2
317,1,0,2,0,0,6,3,3,3,0,0,0,0,0,0,0,2
318,0,1,5,0,0,6,2,2,2,1,2,0,0,0,0,0,1
319,0,3,5,0,0,7,3,2,2,1,0,0,0,0,0,0,1
320,0,2,5,0,0,6,3,2,2,1,0,0,0,0,0,0,1
321,0,3,6,0,0,8,3,2,2,1,0,0,0,0,0,0,1
322,0,2,5,0,0,7,4,2,2,1,0,0,0,0,0,0,1
323,1,2,5,0,0,7,3,2,2,1,0,0,0,0,0,0,1
324,0,1,6,0,0,8,2,2,2,1,0,0,0,0,0,0,1
325,0,1,6,0,0,6,4,2,2,1,0,0,0,0,0,0,1
326,0,3,5,1,0,9,3,1,1,0,0,0,0,0,0,0,1
327,0,1,5,0,0,7,3,2,2,0,0,0,0,0,0,0,1
328,0,2,4,0,0,8,3,2,2,1,0,0,0,0,0,0,1
329,0,2,6,0,0,7,3,2,2,1,0,0,0,0,0,0,1
330,0,2,2,0,0,9,3,2,2,1,0,0,0,0,0,0,2
331,0,2,4,0,0,7,3,2,2,1,0,0,0,0,0,0,1
332,0,2,4,0,0,9,4,2,2,0,0,0,0,0,0,0,1
333,0,2,2,0,0,10,2,2,2,1,0,4,3,1,0,0,0
334,0,2,6,0,0,6,2,3,3,1,0,0,0,0,0,0,1
335,0,2,2,0,0,10,3,3,3,1,0,0,0,0,0,0,2
336,0,2,2,0,0,8,4,2,2,1,0,0,0,0,0,0,2
337,0,2,2,0,0,7,3,2,2,1,0,0,0,0,0,0,2
338,0,2,2,0,0,8,3,2,1,1,0,0,0,0,0,0,2
339,0,2,2,0,0,7,3,2,2,1,0,0,0,0,0,0,2
340,0,2,6,0,0,7,2,2,2,2,0,0,0,0,0,0,1
341,0,2,5,0,0,8,3,2,2,1,1,0,0,0,0,0,1
342,0,2,6,0,0,9,3,2,2,0,1,0,0,0,0,0,1
343,0,1,1,0,0,7,2,3,3,1,0,0,0,0,0,0,2
344,0,2,1,0,0,10,3,2,3,1,0,0,0,0,0,0,2
345,0,2,6,0,0,6,2,3,3,1,0,0,0,0,0,0,1
346,0,2,6,0,0,7,3,3,2,2,2,0,0,0,0,0,1
347,0,2,6,0,0,8,3,2,2,1,3,0,0,0,0,0,1
348,0,2,6,0,0,7,2,2,2,1,0,0,0,0,0,0,1
349,0,2,2,0,0,6,2,2,1,0,0,0,0,0,0,0,2
350,0,2,2,0,0,7,3,1,2,1,0,0,0,0,0,0,2
351,0,2,0,0,0,5,2,3,2,1,2,0,0,0,0,0,2
352,0,2,4,0,1,6,2,1,1,0,0,0,0,0,0,0,1
353,0,2,2,0,0,9,3,2,1,1,0,0,0,0,0,0,2
354,0,1,2,0,0,7,3,2,2,1,0,0,0,0,0,0,2
355,0,2,5,0,0,9,3,1,2,1,0,0,0,0,0,0,1
